===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a5a520 @list=[#<RPG::MoveCommand:0x0000022e28a5a458 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28a5a368 @parameters=[], @code=3>, #<RPG::MoveCommand:0x0000022e28a5a318 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28a5a2c8 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a5a458 @parameters=[], @code=37>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a5a368 @parameters=[], @code=3>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a5a318 @parameters=[], @code=38>
   1| Wait                   | 60
   1| Change Fog Tone        | -1 | 2
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a59e40 @list=[#<RPG::MoveCommand:0x0000022e28a59df0 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28a59c88 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a59df0 @parameters=[], @code=16>
   1| Wait                   | 20
   1| Show Text              | @niko Hey.... \p?
   1| Show Text              | @niko I guess...you saw my dream?
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Yes | 0
   1| Choices Branch         | 0 | Yes
   2| (code 0)               |
   1| Choices End            |
   1| Text Options           | 2 | 0
   1| Show Text              | @niko_distressed It was...
   1| Show Text              | @niko_distressed2 .\..\..\..\..
   1| Wait                   | 60
   1| Play BGM               | LibraryStroll (vol=100, pitch=65)
   1| Show Text              | @niko_eyeclosed Come on, let's go...
   1| Control Switches       | 68 | 68 | 0
   1| Control Switches       | 189 | 189 | 0
   1| Control Switches       | 188 | 188 | 1
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 193 | 0
   1| Call Script            | Journal.set 'default'
   1| Wait                   | 5
   1| Conditional Branch     | 12 | Journal.active?
   2| Play BGM               | Distant (vol=100, pitch=60)
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 12 | Wallpaper.set_persistent('save_w32', 0x0)
   3| (code 0)               |
   2| Conditional End        |
   2| Call Script            | Script.copy_journal
   2| Play BGM               | (silent)
   2| Scroll Picture         | 1
   2| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Move Picture           | 5 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Wait                   | 100
   2| Batch Text             | 23
   2| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Wait                   | 50
   2| Call Script            | Wallpaper.reset_persistent
   2| Wait                   | 5
   2| Call Script            | quit_game_bed
   2| Exit Event Processing  |
   2| (code 0)               |
   1| Conditional End        |
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a4ed60 @list=[#<RPG::MoveCommand:0x0000022e28a4ed10 @parameters=["niko", 0, 2, 0], @code=41>, #<RPG::MoveCommand:0x0000022e28a4eb80 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a4ed10 @parameters=["niko", 0, 2, 0], @code=41>
   1| Change Items           | 1 | 1 | 0 | 1
   1| Control Variables      | 1 | 1 | 0 | 0 | 0
   1| Play BGM               | Distant (vol=100, pitch=60)
   1| Scroll Picture         | 10
   1| Call Script            | Graphics.smooth = true
   1| Control Switches       | 197 | 197 | 0
   1| Control Switches       | 193 | 193 | 1
   1| Show Picture           | 1 | cg_dream5_4 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 2 | cg_dream5_3 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 3 | cg_dream5_2 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 4 | cg_dream5_1 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Show Picture           | 5 | black | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Move Picture           | 5 | 20 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 40
   1| Batch Text             | 23
   1| Text Options           | 1 | 1
   1| Show Text              |
   1| Show Choices           | Niko. | 0
   1| Choices Branch         | 0 | Niko.
   2| (code 0)               |
   1| Choices End            |
   1| Move Picture           | 4 | 35 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 50
   1| Transfer Player        | 0 | 63 | 25 | 15 | 0 | 1
   1| Play BGM               | Distant (vol=85, pitch=60)
   1| Scroll Picture         | 4
   1| Batch Text             | 23
   1| Move Picture           | 3 | 35 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 50
   1| Play BGM               | Distant (vol=70, pitch=60)
   1| Fade BGM               | 5
   1| Scroll Picture         | 3
   1| Batch Text             | 23
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Wait                   | 60
   1| Scroll Picture         | 2
   1| Scroll Picture         | 1
   1| Move Picture           | 5 | 50 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Call Script            | Graphics.smooth = false
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28a4c3a8 @list=[#<RPG::MoveCommand:0x0000022e28a4c290 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e28a4c240 @parameters=[], @code=3>, #<RPG::MoveCommand:0x0000022e28a4c1a0 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e28a4c128 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a4c290 @parameters=[], @code=37>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a4c240 @parameters=[], @code=3>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28a4c1a0 @parameters=[], @code=38>
   1| Wait                   | 60
   1| Change Fog Tone        | -1 | 2
   1| Scroll Picture         | 5
   1| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b0fda8 @list=[#<RPG::MoveCommand:0x0000022e28b0fd58 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b0fcb8 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   1| (code 509)             | #<RPG::MoveCommand:0x0000022e28b0fd58 @parameters=[], @code=16>
   1| Wait                   | 20
   1| Text Options           | 2 | 0
   1| Show Text              | @niko ...Hello?\>\@niko_speak ...\p?
   1| Wait                   | 30
   1| Show Text              | @niko_speak Was that you just now?
   1| Show Text              | @niko_speak I thought I...heard your voice?\>\n\@niko ...in my dream...
   1| Wait                   | 50
   1| Show Text              | @niko ...\>\n\@niko_eyeclosed ...Ah, guess you're still not there...
   1| Wait                   | 50
   1| Show Text              | @niko_distressed ...
   1| Wait                   | 40
   1| Show Text              | @niko_speak Wait...there's something in my pocket. \>\n\@niko I don't remember putting it there...
   1| Control Switches       | 193 | 193 | 1
   1| Change Items           | 58 | 0 | 0 | 1
   1| Play BGS               | get_item (vol=100, pitch=100)
   1| Play BGM               | Distant (vol=100, pitch=55)
   1| Control Switches       | 99 | 99 | 0
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 0 | 20 | 1
   1| Show Text              | @ed [Niko feels uneasy.]
   1| Control Switches       | 142 | 142 | 0
   1| (code 0)               |
   0| Conditional Else       |
   1| Control Switches       | 142 | 142 | 0
   1| Control Variables      | 62 | 62 | 1 | 0 | 1
   1| Conditional Branch     | 0 | 218 | 0
   2| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b0ee30 @list=[#<RPG::MoveCommand:0x0000022e28b0edb8 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b0ed40 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   2| (code 509)             | #<RPG::MoveCommand:0x0000022e28b0edb8 @parameters=[], @code=16>
   2| Wait                   | 20
   2| Show Text              | @niko_eyeclosed ...
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 62 | 0 | 1 | 2
   3| Change Fog Tone        | -1 | 2
   3| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b0e930 @list=[#<RPG::MoveCommand:0x0000022e28b0e8e0 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b0e868 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   3| (code 509)             | #<RPG::MoveCommand:0x0000022e28b0e8e0 @parameters=[], @code=16>
   3| Wait                   | 20
   3| Show Text              | @niko_speak ....\p?
   3| Show Text              | @niko_surprised ......\p!!! Can you hear me?
   3| Text Options           | 1 | 1
   3| Show Text              |
   3| Show Choices           | Yeah | 1
   3| Choices Branch         | 0 | Yeah
   4| (code 0)               |
   3| Choices End            |
   3| Text Options           | 2 | 0
   3| Show Text              | @niko_eyeclosed Oh, phew...
   3| Show Text              | @niko_speak What happened?
   3| Show Text              | @niko_eyeclosed Everything went pitch black for a second...
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 62 | 0 | 2 | 2
   4| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b0deb8 @list=[#<RPG::MoveCommand:0x0000022e28b0de40 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b0ddc8 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   4| (code 509)             | #<RPG::MoveCommand:0x0000022e28b0de40 @parameters=[], @code=16>
   4| Wait                   | 20
   4| Show Text              | @niko_speak \p?
   4| Show Text              | @niko_surprised Are you still there?
   4| Text Options           | 1 | 1
   4| Show Text              |
   4| Show Choices           | I'm here. | 1
   4| Choices Branch         | 0 | I'm here.
   5| (code 0)               |
   4| Choices End            |
   4| Text Options           | 2 | 0
   4| Show Text              | @niko_eyeclosed It happened again...
   4| Conditional Branch     | 8 | 1
   5| Show Text              | @niko_what Everything just went really dark...
   5| Show Text              | @niko_speak So dark, the lightbulb doesn't even light it!
   5| (code 0)               |
   4| Conditional Else       |
   5| Show Text              | @niko2 Oh, and it's not because I don't have the lightbulb anymore, either!
   5| Show Text              | @niko_eyeclosed It feels like a different kind of dark...
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 62 | 0 | 3 | 2
   5| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b0d198 @list=[#<RPG::MoveCommand:0x0000022e28b0d120 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b0d0a8 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   5| (code 509)             | #<RPG::MoveCommand:0x0000022e28b0d120 @parameters=[], @code=16>
   5| Wait                   | 20
   5| Show Text              | @niko_distressed Oh....
   5| Show Text              | @niko_eyeclosed \p, let me know when you're back...
   5| Text Options           | 1 | 1
   5| Show Text              |
   5| Show Choices           | I'm back | 1
   5| Choices Branch         | 0 | I'm back
   6| (code 0)               |
   5| Choices End            |
   5| Text Options           | 2 | 0
   5| Show Text              | @niko_eyeclosed I don't know why this keeps happening...
   5| (code 0)               |
   4| Conditional Else       |
   5| Conditional Branch     | 1 | 62 | 0 | 4 | 2
   6| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b0c860 @list=[#<RPG::MoveCommand:0x0000022e28b0c810 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b0c798 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   6| (code 509)             | #<RPG::MoveCommand:0x0000022e28b0c810 @parameters=[], @code=16>
   6| Wait                   | 20
   6| Show Text              | @niko_eyeclosed ...
   6| Text Options           | 1 | 1
   6| Show Text              |
   6| Show Choices           | I'm back | 1
   6| Choices Branch         | 0 | I'm back
   7| (code 0)               |
   6| Choices End            |
   6| Text Options           | 2 | 0
   6| Show Text              | @niko_speak I don't think anyone else is noticing it, either...
   6| Show Text              | @niko_what Am I the only one who's seeing this?
   6| (code 0)               |
   5| Conditional Else       |
   6| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b07fb8 @list=[#<RPG::MoveCommand:0x0000022e28b07f68 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b07e78 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   6| (code 509)             | #<RPG::MoveCommand:0x0000022e28b07f68 @parameters=[], @code=16>
   6| Wait                   | 20
   6| Text Options           | 1 | 1
   6| Show Text              |
   6| Show Choices           | Niko, I'm back | 1
   6| Choices Branch         | 0 | Niko, I'm back
   7| (code 0)               |
   6| Choices End            |
   6| Text Options           | 2 | 0
   6| Show Text              | @niko_eyeclosed Hey, \p...
   6| Show Text              | @niko Welcome back.
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 43] checkpoint save
  trigger=0 switch_id=1
   0| Control Switches       | 198 | 198 | 0
   0| Call Script            | save
   0| Control Switches       | 198 | 198 | 1
   0| (code 0)               |

[CommonEvent 44] teleport1
  trigger=0 switch_id=1
   0| Erase Screen           |
   0| Call Common Event      | 49
   0| (code 0)               |

[CommonEvent 45] teleport2
  trigger=0 switch_id=1
   0| Flash Screen           | mosaic
   0| Wait                   | 10
   0| (code 0)               |

[CommonEvent 46] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 47] paperbot
  trigger=0 switch_id=1
   0| Control Variables      | 22 | 22 | 0 | 2 | 1 | 6
   0| Conditional Branch     | 1 | 22 | 0 | 1 | 0
   1| Show Text              | [EVENING NEWS! EVENING NEWS!]
   1| Show Text              | [I AM NOT CERTAIN THAT IT IS EVENING.]
   1| Show Text              | [BUT MY LIGHT SENSORS ARE NOT DETECTING DAYLIGHT.]
   1| Show Text              | [I WILL ASSUME IT IS EVENING.]
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 22 | 0 | 2 | 0
   2| Show Text              | [EVENING NEWS! EVENING NEWS!]
   2| Show Text              | [MAINTENANCE IS STRUGGLING TO FIX THE MAJOR PIPELINE COLLAPSE IN THE NORTH SECTOR.]
   2| Show Text              | [LIKELIHOOD OF AN IMMINENT WATER SHORTAGE IN THE INNER CITY IS NOW 84.2%]
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 22 | 0 | 3 | 0
   3| Show Text              | [EVENING NEWS! EVENING NEWS!]
   3| Show Text              | [DISTURBANCE WAS DETECTED FROM THE GROUND ACCESS ELEVATOR ON MAIN STREET.]
   3| Show Text              | [HOWEVER, THE ISSUE QUICKLY RESOLVED ITSELF BEFORE INVESTIGATIONS COULD TAKE PLACE.]
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 22 | 0 | 4 | 0
   4| Show Text              | [EVENING NEWS! EVENING NEWS!]
   4| Show Text              | [THE MESSIAH IS CURRENTLY SPEAKING TO NEWSBOT UNIT #28.]
   4| Show Text              | [WHICH IS ME.]
   4| Show Text              | [HELLO, MESSIAH.]
   4| Show Text              | @niko_speak Hi!
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 22 | 0 | 5 | 0
   5| Show Text              | [EVENING NEWS! EVENING NEWS!]
   5| Show Text              | [STRANGE SOUNDS HAVE BEEN REPORTED FROM THE SLUMS.]
   5| Show Text              | [THEIR SOURCE IS UNKNOWN.]
   5| Show Text              | [THESE SOUNDS HAVE BEEN DESCRIBED AS "FAINT BLEATING" BY THE AREA'S RESIDENTS.]
   5| (code 0)               |
   4| Conditional Else       |
   5| Conditional Branch     | 1 | 22 | 0 | 6 | 0
   6| Show Text              |
   6| Show Text              | [EVENING NEWS COMMUNITY BULLETIN]
   6| Show Text              | [THE LIBRARY RELEASED SEVERAL NEW BOOKS BY THE ELUSIVE AUTHOR LAST WEEK.]
   6| Show Text              | [THE HEAD LIBRARIAN RECOMMENDS THEM.]
   6| Show Text              | [THE ASSISTANT LIBRARIAN HAD NO COMMENT AS HE REPORTEDLY FLED THE SCENE SOBBING.]
   6| Show Text              | [THE RECEPTIONIST HAD NO COMMENT EITHER BECAUSE THE RECEPTIONIST IS A ROBOT.]
   6| (code 0)               |
   5| Conditional Else       |
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 48] EMPTY INVENTORY
  trigger=0 switch_id=1
   0| Change Items           | 1 | 1 | 0 | 99
   0| Change Items           | 2 | 1 | 0 | 99
   0| Change Items           | 3 | 1 | 0 | 99
   0| Change Items           | 4 | 1 | 0 | 99
   0| Change Items           | 5 | 1 | 0 | 99
   0| Change Items           | 6 | 1 | 0 | 99
   0| Change Items           | 7 | 1 | 0 | 99
   0| Change Items           | 8 | 1 | 0 | 99
   0| Change Items           | 9 | 1 | 0 | 99
   0| Change Items           | 10 | 1 | 0 | 99
   0| Change Items           | 11 | 1 | 0 | 99
   0| Change Items           | 12 | 1 | 0 | 99
   0| Change Items           | 13 | 1 | 0 | 99
   0| Change Items           | 14 | 1 | 0 | 99
   0| Change Items           | 15 | 1 | 0 | 99
   0| Change Items           | 16 | 1 | 0 | 99
   0| Change Items           | 17 | 1 | 0 | 99
   0| (code 0)               |

[CommonEvent 49] teleport noise
  trigger=0 switch_id=1
   0| Control Variables      | 22 | 22 | 0 | 2 | 1 | 4
   0| Conditional Branch     | 1 | 22 | 0 | 1 | 0
   1| Play SE                | teleport (vol=100, pitch=70)
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 22 | 0 | 2 | 0
   2| Play SE                | teleport (vol=100, pitch=55)
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 22 | 0 | 3 | 0
   3| Play SE                | teleport (vol=100, pitch=70)
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 22 | 0 | 4 | 0
   4| Play SE                | teleport (vol=100, pitch=55)
   4| (code 0)               |
   3| Conditional Else       |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 50] Translated Journal
  trigger=0 switch_id=1
   0| Control Switches       | 124 | 124 | 0
   0| Show Text              | $Greetings, \p.\nIf you can finally read this, that means you are near the Tower.
   0| Wait                   | 1
   0| Show Text              | $The Tower is the domain of an elusive Entity.
   0| Show Text              | $This being is connected to the world.\nFor now, you can think of it as the spirit of the world.
   0| Wait                   | 1
   0| Show Text              | $It has no physical form, but it can communicate through computers and other machinery.
   0| Wait                   | 1
   0| Show Text              | $...You know who I am talking about, of course.
   0| Wait                   | 1
   0| Show Text              | $When you first arrived here with our savior, it no doubt contacted you right away.
   0| Wait                   | 1
   0| Show Text              | $Through its own means, the entity will guide the both of you to the Tower.
   0| Wait                   | 1
   0| Show Text              | $The entry room is at the Tower's base.\nNot only do you need the sun there, but also three pieces of the previous sun.
   0| Wait                   | 1
   0| Show Text              | $The savior will not be able to do anything there.\nYou, \p, on the other hand...
   0| Wait                   | 1
   0| Show Text              | $Look at the pattern on the floor. Do as it says.\nThe window will be gone, so you need to bring it back.
   0| Wait                   | 1
   0| Control Switches       | 124 | 124 | 1
   0| (code 0)               |

[CommonEvent 51] prophet explains the world
  trigger=0 switch_id=1
   0| Show Text              | @niko I'm not sure where I am, exactly...
   0| Show Text              | @niko_eyeclosed I can't see too far off, everything's so dark...
   0| Show Text              | @prophet [Our World Was Not Always This Dim.]
   0| Show Text              | @prophet [Nor Was It So Broken.]
   0| Show Text              | @prophet_hmm [But Time Waits For Nobody, Not Even Saviors.]
   0| Show Text              | @prophet [The World Is Divided Into Three Regions.]
   0| Show Text              | @prophet [You're On The Fringe Right Now, The Barrens.]
   0| Show Text              | @prophet [That Tower You See In The Distance Once Held Our Sun.]
   0| Show Text              | @niko_speak Oh, so that's what the tall thing was...
   0| Show Text              | @prophet [As You Go Further Towards The Center, You Will Cross The Other Regions.]
   0| Show Text              | @prophet_hmm [There Should Be A Map Still In This Outpost Somewhere...]
   0| Show Text              | @niko_speak Ooo...
   0| (code 0)               |

[CommonEvent 52] prophet explains the lightbulb
  trigger=0 switch_id=1
   0| Show Text              | @niko I found it in the house I woke up in...
   0| Show Text              | @prophet [Within Your Hands Is Our New Sun.]
   0| Show Text              | @niko Your... \.\.\@niko_speak sun?
   0| Show Text              | @prophet_omg [Yes!]
   0| Show Text              | @prophet [Years Ago,\.\. Our Previous Sun Sat Atop That Tower And Spilled Its Life Into The Land.]
   0| Show Text              | @prophet_sigh [But One Day, The Light Went Out.]
   0| Show Text              | @niko_eyeclosed Oh...
   0| Show Text              | @prophet_sigh [The World Is Still Hanging On By A Thread.]
   0| Show Text              | @prophet_hmm [The Surface Of This World Is Abundant With An Element Called Phosphor.]
   0| Show Text              | @prophet_hmm [Fortunately For Us, This Element Stored Light Energy From Our Previous Sun.]
   0| Show Text              | @prophet_hmm [It's Now Our Only Source Of Illumination, But Its Energy Is Finite.]
   0| Show Text              | @prophet_sigh [When The Last Of The Light Dies,\.\. Our World Will Too.]
   0| Show Text              | @niko_speak ...\.\.\@niko_eyeclosed Ah...
   0| Show Text              | @prophet [But Now That You Are Here With The New Sun, All Is Well.]
   0| Show Text              | @prophet [You Will Need To Restore It To The Tower.]
   0| Show Text              | @niko2 That looks... pretty far off!
   0| Show Text              | @prophet [Yes. So Begins Your Pilgrimage.]
   0| Show Text              | @prophet_hmm [Also, The Sun Is Fragile, So Be Careful.]
   0| Show Text              | @prophet_sigh [If The Sun Shatters, The World Will End In An Instant.]
   0| Show Text              | @niko3 Oh...
   0| (code 0)               |

[CommonEvent 53] prophet explains going home
  trigger=0 switch_id=1
   0| Show Text              | @niko Oh...
   0| Show Text              | @niko I don't mean to be rude, but I..
   0| Show Text              | @niko_eyeclosed I'm... not sure about this.
   0| Show Text              | @niko_distressed2 I still don't know how I got here!
   0| Show Text              | @niko_eyeclosed I was just with my mama a few hours ago...
   0| Show Text              | @niko_distressed2 And now it feels like I'm in a bad dream...
   0| Show Text              | @niko_eyeclosed I just want to go home...
   0| Fade BGM               | 2
   0| Show Text              | @prophet [...]
   0| Show Text              | @prophet [Your Mission Is To Save Our World.]
   0| Show Text              | @prophet_hmm [Just As My Mission Is To Tell You About Our World.]
   0| Show Text              | @prophet [I Am Unable To Help You Beyond My Programming.]
   0| Show Text              | @prophet_sigh [I Am Sorry.]
   0| Show Text              | @niko_eyeclosed ...oh.
   0| Play BGM               | Phosphor_dark (vol=100, pitch=50)
   0| (code 0)               |

[CommonEvent 54] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 55] rue vision
  trigger=0 switch_id=1
   0| Show Picture           | 1 | vision_rue1 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Show Picture           | 2 | vision_rue2 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Show Picture           | 3 | vision_rue3 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Play SE                | tv_static (vol=100, pitch=120)
   0| Wait                   | 2
   0| Stop SE                | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 243 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 230 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 217 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 205 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 192 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 180 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 167 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 155 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 142 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 130 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 117 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 105 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 92 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
